RAD1_cam1_X,RAD1_cam1_Y,RAD1_cam2_X,RAD1_cam2_Y,RAD2_cam1_X,RAD2_cam1_Y,RAD2_cam2_X,RAD2_cam2_Y,RAD3_cam1_X,RAD3_cam1_Y,RAD3_cam2_X,RAD3_cam2_Y,MCIII1_cam1_X,MCIII1_cam1_Y,MCIII1_cam2_X,MCIII1_cam2_Y,MCIII2_cam1_X,MCIII2_cam1_Y,MCIII2_cam2_X,MCIII2_cam2_Y,MCIII3_cam1_X,MCIII3_cam1_Y,MCIII3_cam2_X,MCIII3_cam2_Y
477.722229004,89.2777786255,572.803842257,77.3480627047,482.270518609,112.179917438,560.69012265,102.421293591,479.892778063,146.66002404,572.277717138,136.54684366,593.844257376,808.508203781,657.933645527,866.760377855,613.892060728,812.77270977,640.442506721,873.701111969,611.65739924,839.843380834,657.404108126,906.15935438
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
479.938567784,85.4251640866,573.072469272,73.6348464203,484.998727517,108.455086632,560.939183937,98.5379658346,482.393254974,143.381077562,572.526220086,132.895856874,665.560553121,643.806850217,786.590639883,694.965528038,686.858250631,646.056480198,770.833482302,700.038129673,692.5844149,660.011915631,802.553788848,718.558702073
480,85.5,573.134326269,73.6973474752,485.220121068,108.371990919,561,98.625,482.377496499,143.172163067,572.582888567,132.907082408,665.757686974,643.601605224,786.277533023,694.622821731,686.892793904,646.284402308,770.585211426,699.787070631,692.725847567,659.786365704,802.457841678,718.573493206
480.217780021,85.4580432841,573.127651512,73.6161009351,485.375074953,108.799388965,561.014592409,98.6480444288,482.413736261,143.261427854,572.554872833,132.761944611,665.799391554,643.632334988,786.264637438,694.472046336,687.211048624,646.036241242,770.672618547,699.660684489,692.690848646,659.482104237,802.658691461,718.263607896
480.150614965,85.6828093332,573.137778631,73.4574267284,485.233887226,108.567449733,561.05248931,98.5067974235,482.747401448,143.1986538,572.480259696,132.90324952,665.894596672,643.364935207,786.254611432,694.145725422,687.356830994,646.030761024,770.736260748,699.394156047,692.95752039,659.576809598,802.696202046,718.074288473
480.223516721,85.7050095262,573.226095478,73.4807791564,485.343180088,108.450268578,561.079825732,98.5705658572,482.514889272,143.270776839,572.473945613,132.828441899,666.261796842,643.259042847,786.479750808,694.232491637,687.682693073,645.78776845,770.763727159,699.208971102,693.222925274,659.313270996,802.620045017,717.935159979
480.274972269,85.5014702473,573.289701966,73.4278751447,485.279861248,108.595632669,560.970907277,98.506593194,482.48875829,143.298364727,572.593932585,132.873487062,666.603789753,643.072954315,786.371645481,694.147808859,688.058015972,645.676688384,770.626347039,699.053182871,693.833765894,659.013033413,802.532288124,717.739664388
480.254486771,85.4314474261,573.272511588,73.3859528171,485.342533066,108.25962506,560.97805899,98.4977525698,482.652561122,143.130667322,572.595741306,132.789187988,666.933786929,643.244132455,785.971625197,694.042588963,688.250225043,645.163437375,770.319275064,699.11157001,694.1185802,659.032733251,802.349648604,717.777229824
480.231165211,85.5357452726,573.171254065,73.3279939958,485.415233238,108.65562754,560.909804694,98.5656450463,482.471333697,143.187521254,572.403538618,132.773504073,667.508355213,643.231496012,785.820517951,694.125770778,688.386388152,645.376641017,769.918594175,698.865183138,694.941048599,659.039815232,801.868309646,717.616942865
480.248219805,85.5837012496,573.358442545,73.5443235207,485.478628633,108.551723553,561.112204511,98.5962176695,482.728840813,143.122222219,572.52121797,132.693344914,667.583223227,642.972056104,785.779017044,694.093286225,689.2309838,645.184299346,769.724440616,698.713594954,695.099343652,658.884282721,801.789324473,717.523514808
480.207819934,85.3017586101,573.240322015,73.4709029818,485.615589067,108.431269149,561.108492511,98.5109616665,482.761818544,143.481888028,572.612107455,132.828495414,668.02219969,642.842828403,785.657716446,693.966637244,689.461296553,644.986671984,769.722253167,698.69349355,695.35846558,658.917160719,801.766759426,717.46349339
480.389425464,85.6723381099,573.246785635,73.3868227572,485.567004559,108.44523485,560.998192132,98.6487420521,482.677433341,143.140691067,572.48982476,132.741037355,668.03538061,642.852222255,785.805796295,693.977258228,689.327947907,644.928516585,769.856284482,698.600891923,695.44036721,658.702126655,801.589991187,717.286709175
480.563540919,85.3240130277,573.193162425,73.3989231358,485.679724085,108.286875258,561.036874487,98.4830038425,482.750511546,143.226996437,572.514002932,132.773084073,668.191885355,642.804357669,785.427113297,693.977319203,689.813324023,645.123355501,769.680420174,698.478119386,695.82367411,658.664196791,801.56268303,717.22546167
480.406468931,85.4915956833,573.311150255,73.3648101562,485.497804387,108.421267637,560.947042241,98.4740225487,482.722774082,142.936161486,572.591397186,132.686361854,668.440033078,642.901450413,785.250855691,693.903135706,690.030614691,644.935370534,769.349645505,698.419509131,695.663860473,658.711979881,801.155447478,717.181869612
480.280294953,85.8761382803,573.250631601,73.4059662242,485.618780336,108.625595867,560.922926181,98.4648642325,482.708661078,143.27963639,572.677947587,132.681830019,668.86328371,643.103945359,784.861512188,694.330139173,690.261735374,645.201370694,768.90588041,698.674924401,696.239535955,659.005284032,800.690817595,717.698655106
480.487690134,85.5845194798,573.231489012,73.4163139009,485.471979183,108.381673362,560.927492034,98.4284273505,482.764225386,143.20353389,572.567956566,132.677251991,669.108026953,643.459321134,784.363646863,694.52948625,690.473023885,645.437591281,768.820018344,699.024286272,696.665556943,659.36603083,800.441847805,717.896424355
480.320660801,85.6214699141,573.186081721,73.474719667,485.701319529,108.425357037,560.979828804,98.3880882548,482.764027174,143.200664355,572.488778809,132.809760881,669.338624602,643.447260249,784.22549121,694.80144375,690.740332531,645.459052414,768.463810046,699.011455248,696.772099127,659.21608117,800.323701425,718.266300219
480.386149216,85.7486960885,573.223866075,73.3686084237,485.785705566,108.214286804,561.039334631,98.5251890153,482.904109739,143.29381819,572.635518727,132.801321805,669.756506983,643.597174418,784.214294434,695.214294434,691.034258342,645.407963496,768.195284487,699.208232984,697.322986423,659.57202063,799.864649097,718.446454573
480.433231936,85.4918873716,573.170604887,73.3580390111,485.447920161,108.377842438,560.934517788,98.5184962754,482.807569127,142.962317982,572.579392265,132.717250573,670.11295055,643.975432942,784.085543931,695.260710841,691.265142891,645.715659628,768.048289968,699.396653299,697.499326621,659.672391682,799.637455438,718.484628253
480.148151855,85.5767745746,573.062285234,73.5282380092,485.635683284,108.562758756,560.88542583,98.6396356109,482.700024989,143.291270156,572.62496723,132.600402329,670.2536402,643.932520963,783.651288209,695.431356445,691.645345279,646.014554529,767.727008533,699.441088763,698.020505464,659.855172547,799.338425281,718.853015654
480.280219218,85.5572163425,573.261405536,73.4490842091,485.524514272,108.486130646,560.789263821,98.499793476,482.842404044,143.289364442,572.54277978,132.676912236,670.526038002,644.11016236,783.435320039,695.741661108,691.657652556,645.843194307,767.476514834,699.573309814,698.036601779,660.012024562,798.861403602,718.884570163
480.599811438,85.5928234835,573.292579045,73.5766829931,485.6472835,108.341134472,560.902045141,98.461932827,482.719718393,143.275331456,572.609187135,132.71546276,670.788300635,644.311219115,783.722229004,695.722229004,692.053762084,646.112499477,767.35002305,699.689757886,698.361692719,660.237597088,798.83813822,719.164091238
480.377214131,85.5414572597,573.178872386,73.502263962,485.713859417,108.478952693,561,98.5,482.830010953,143.157655004,572.629327556,132.753865679,670.904881737,644.593725984,783.122049318,695.952328496,692.435302233,646.226470221,767.22020928,699.941836762,698.676856737,660.373783239,798.621961185,719.438232756
480.414216583,85.3324463565,573.244253417,73.3051375737,485.677731751,108.547939469,560.999348439,98.4913188073,482.942341526,143.496918989,572.6347989,132.799096405,671.141561699,644.599912718,782.633447552,696.212663505,692.598337228,646.108274806,766.806376481,700.207043444,698.994607418,660.354088659,798.409368158,719.467034385
480.491788371,85.4820530981,573.191744978,73.2982228321,485.723243302,108.364465469,561.100473914,98.5315278985,482.774553008,143.255085214,572.605227467,132.549659653,671.445757187,644.885517945,782.524304191,696.543793916,692.714385585,646.399415908,766.502531014,700.239427898,699.003437752,660.443249883,797.94531065,719.710510784
480.744350824,85.4850813642,573.319235252,73.5030870708,485.770598624,108.457716045,560.991159091,98.3794772005,482.955727752,143.197349996,572.647351906,132.711635601,671.492893209,644.895128671,782.380451328,696.765926542,692.928211091,646.215572032,766.367076969,700.419715926,699.499120553,660.634467019,797.763294742,719.950473949
480.484045225,85.5948776754,573.323447236,73.3449699932,485.80314403,108.397713225,561.031284804,98.3824439771,482.850526886,143.319444852,572.584799964,132.737249041,672.105378458,644.985128292,782.052025803,697.072491765,693.370939159,646.657627811,766.059380452,700.527420117,699.717550869,660.793921576,797.383752433,720.062927771
480.83086771,85.4705808094,573.097901427,73.5112665343,485.702077197,108.636490212,560.947495183,98.4461215048,482.796031348,143.120551841,572.511338931,132.723315236,672.235114183,645.143365145,781.914856034,697.288369135,693.536152064,646.785446061,765.857388159,700.676758695,699.952870979,660.860393864,797.198897886,720.388971239
480.412508574,85.5994531326,573.212061673,73.4626647399,485.735776793,108.552630557,561.089279305,98.4834323411,483.153149334,143.605960775,572.648957157,132.688244543,672.737811464,645.35714452,781.619556957,697.537522814,693.830598251,646.853238172,765.602873837,700.917405649,700.274376468,661.091338758,796.968485578,720.655136291
480.584350302,85.3745053184,573.379835931,73.3844212137,485.678003725,108.659533563,560.988183897,98.5361016824,482.802307805,143.411279736,572.646540614,132.632194943,672.746257672,645.650830349,781.568213127,697.896608537,694.088385881,646.98179032,765.432701067,700.983400233,700.708658054,661.402341855,796.626852106,720.730457704
480.538444498,85.7825997948,573.277553583,73.3122065024,485.736646154,108.454997308,560.97066392,98.5213726864,482.909515083,143.175955709,572.607123162,132.703783585,672.852858973,645.662256462,781.103232617,697.853560369,694.362046995,647.09106788,764.984099511,701.175884071,700.761185938,661.560373767,796.341000622,720.823179724
480.409877497,85.4779991662,573.379011364,73.3976975924,486.06128834,108.198891935,561.021073354,98.3491955706,482.790845239,143.177302163,572.547572597,132.644371386,673.409308993,645.977540428,781,698,694.57990888,647.158092523,764.946281609,701.323796878,701.309073367,661.495302927,796.094540736,721.050442844
480.61238499,85.4909519752,573.333768697,73.3253902752,485.903043878,108.624260766,561.155288684,98.4729690447,482.940738441,143.427902911,572.710607646,132.694169815,673.586360368,645.989812716,780.9681713,698.606875741,694.877719247,647.314109528,764.629111043,701.600720974,701.466938921,661.852362729,795.876841277,721.243741942
480.607206591,85.3634199684,573.389435262,73.3544164956,485.788731064,108.387882057,561.169492533,98.4508377794,483.025585427,143.418820795,572.660010153,132.587529432,673.62543201,646.557555504,780.562009472,698.563318219,694.895453589,647.528578764,764.509757565,701.824960907,701.550273267,662.00967654,795.616780546,721.776592879
480.441107769,85.8163327329,573.438198084,73.4352829776,485.675243294,108.242363814,561.142376397,98.4266791393,483.029374232,143.146448809,572.682857649,132.71426875,674.061275599,646.438882941,780.313025466,698.735150396,695.174579503,647.74060006,764.332473979,701.836854828,702.030862013,661.799236219,795.327734222,721.870313364
480.749329621,85.2895263997,573.545317752,73.4675647707,485.792590907,108.57155333,561.29438318,98.4483147767,483.020177178,143.224653512,572.810457194,132.711710877,674.173077317,646.68001088,780.328520195,699.036140065,695.489669527,647.895198112,764.097705964,701.95365289,702.311219372,662.206789339,795.206141609,722.008584498
480.867400981,85.1702544362,573.527338102,73.3889738276,485.836248334,108.298298261,561.246161393,98.3900627734,483.266873703,143.11218999,572.810301057,132.665583454,674.35217851,646.954705138,780.049048306,699.367291062,695.585218666,647.996370957,763.926897145,702.275640602,702.537420991,662.328220124,794.789432379,722.386783871
480.772078058,85.4126964308,573.582520202,73.359803226,486.036068412,108.33032962,561.204108875,98.557866182,483.130801951,143.235791153,572.901649416,132.684387232,674.724679569,647.110253842,779.795816575,699.657813877,695.856005284,648.003810353,763.694394529,702.472689261,702.663923514,662.562592347,794.676912819,722.73296918
480.804021492,85.5179602758,574,73,485.925964675,108.713750264,561.5,98.5,483.013298339,143.30582123,572.934311781,132.817883562,674.851657794,647.304241442,779.386467582,699.750720997,696.161838916,648.248567804,763.647121147,702.878593073,703.271255638,662.825442559,794.43960875,722.915450924
480.719191615,85.9202576065,573.678328706,73.2642894469,485.967096049,108.780900642,561.240153168,98.4175821529,483.263894059,143.130199794,572.88676564,132.733653652,674.948436371,647.525854185,779.21482475,699.851570456,696.292305509,648.417598377,763.181765802,702.783880623,703.474385118,662.887868863,794.030182025,723.156034398
480.71874785,85.4125506541,573.523867775,73.3232536158,486.126579865,108.570373017,561.363012729,98.3711409835,483.251896167,143.30959644,572.866316442,132.613841529,675.349710702,647.613106888,778.834098453,700.37927898,696.819515433,648.445022671,762.915319757,703.095818864,703.333273801,662.993678995,793.920786374,723.577620334
480.751305791,85.3980955315,573.539212633,73.3135324273,486.131925934,108.386410518,561.341266229,98.271110808,483.266063824,143.246144879,572.844671551,132.691836235,675.648839367,647.893132006,778.715993274,700.586817349,696.528593745,648.811493569,762.674892584,703.34478019,703.639722005,663.496198938,793.547804222,723.676317928
